op,nexus_ms,baseline_ms,baseline_vs_nexus,nexus_metric_name,nexus_metric_value,baseline_metric_name,baseline_metric_value,nexus_mode
softmax,1760.000000,36.836417,0.020930,Mean Absolute Error,8.713230,Mean Absolute Error,12.724471,nexus-source-local
matmul,79954.000000,18873.440500,0.236054,Average error,0.000525,Average error,0.735787,nexus-source-local
